type,src,dest,cond,delay
connect, clk, control_unit_1.clk
connect, rst_n, control_unit_1.rst_n
connect, PSEL, control_unit_1.PSEL
connect, PENABLE, control_unit_1.PENABLE
connect, PWRITE, control_unit_1.PWRITE
connect, PADDR, control_unit_1.PADDR
connect, PWDATA, control_unit_1.PWDATA
connect, req, control_unit_1.req_in
connect, control_unit_1.PRDATA, PRDATA
connect, control_unit_1.PSLVERR, PSLVERR
connect, control_unit_1.PREADY, PREADY
connect, control_unit_1.irq_out, irq_out
connect, control_unit_1.cfg_reg_out, cfg_reg
connect, control_unit_1.level_reg_out, level_reg
connect, control_unit_1.dsp_regs_out, dsp_regs
connect, control_unit_1.cfg_out, cfg
connect, control_unit_1.clr_out, clr
connect, control_unit_1.level_out, level
connect, control_unit_1.tick_out, tick
connect, control_unit_1.audio0_out, audio0
connect, control_unit_1.audio1_out, audio1
connect, control_unit_1.play_out, play
connect, clk, dsp_unit_1.clk
connect, rst_n, dsp_unit_1.rst_n
connect, audio0, dsp_unit_1.audio0_in
connect, audio1, dsp_unit_1.audio1_in
connect, tick, dsp_unit_1.tick_in
connect, cfg, dsp_unit_1.cfg_in
connect, cfg_reg, dsp_unit_1.cfg_reg_in
connect, dsp_regs, dsp_unit_1.dsp_regs_in
connect, level, dsp_unit_1.level_in
connect, level_reg, dsp_unit_1.level_reg_in
connect, clr, dsp_unit_1.clr_in
connect, dsp_unit_1.dsp0_out, dsp0
connect, dsp_unit_1.dsp1_out, dsp1
connect, dsp_unit_1.valid_out, dsp_tick
connect, clk, cdc_unit_1.clk
connect, rst_n, cdc_unit_1.rst_n
connect, dsp0, cdc_unit_1.dsp0_in
connect, dsp1, cdc_unit_1.dsp1_in
connect, dsp_tick, cdc_unit_1.tick_in
connect, cfg, cdc_unit_1.cfg_in
connect, cfg_reg, cdc_unit_1.cfg_reg_in
connect, play, cdc_unit_1.play_in
connect, mclk, cdc_unit_1.mclk_in
connect, mreq, cdc_unit_1.req_in
connect, cdc_unit_1.mclk, mclk_mux
connect, cdc_unit_1.mrst_n, mrst_n
connect, cdc_unit_1.dsp0_out, mdsp0
connect, cdc_unit_1.dsp1_out, mdsp1
connect, cdc_unit_1.tick_out, mtick
connect, cdc_unit_1.cfg_out, mcfg
connect, cdc_unit_1.cfg_reg_out, mcfg_reg
connect, cdc_unit_1.play_out, mplay
connect, cdc_unit_1.req_out, req
